starting_time,ending_time,Tag
00:02:45,00:02:27,1
00:00:55,00:01:10,1
00:00:26,00:01:00,1
00:00:08,00:00:33,2
00:01:12,00:01:25,2
00:01:15,00:02:55,2
00:01:43,00:01:49,3
00:00:00,00:00:00,3
00:00:46,00:01:00,4
00:00:00,00:00:00,4
00:00:49,00:01:03,4
00:00:00,00:00:00,5
00:00:00,00:00:00,5
00:02:57,00:03:05,5
00:02:00,00:02:22,6
00:00:00,00:00:00,6
00:00:00,00:00:00,6
