starting_time,ending_time,Tag
00:03:50,00:04:28,1
00:02:02,00:02:25,1
00:00:00,00:00:00,1
00:02:18,00:03:48,2
00:00:00,00:00:00,2
00:00:00,00:00:00,2
00:02:18,00:03:48,3
00:00:00,00:00:00,3
00:00:00,00:00:00,3
00:00:06,00:00:50,4
00:00:00,00:00:00,4
00:00:00,00:00:00,4
00:01:15,00:01:33,5
00:00:00,00:00:00,5
00:00:00,00:00:00,5
00:01:51,00:01:59,6
00:00:00,00:00:00,6
00:00:00,00:00:00,6
